,t,open,high,low,close
15113,2024-08-08 07:30:00-04:00,1.09272,1.09276,1.0922,1.09221
15114,2024-08-08 07:45:00-04:00,1.09221,1.09286,1.09219,1.09253
15115,2024-08-08 08:00:00-04:00,1.09253,1.09282,1.09231,1.09237
15116,2024-08-08 08:15:00-04:00,1.09238,1.09299,1.09238,1.0928
15117,2024-08-08 08:30:00-04:00,1.09281,1.09281,1.09236,1.09263
15118,2024-08-08 08:45:00-04:00,1.09263,1.09332,1.09255,1.09307
15119,2024-08-08 09:00:00-04:00,1.09304,1.09324,1.09288,1.09319
15120,2024-08-08 09:15:00-04:00,1.09319,1.09319,1.09281,1.09281
15121,2024-08-08 09:30:00-04:00,1.09241,1.09264,1.08981,1.09057
15122,2024-08-08 09:45:00-04:00,1.09057,1.09058,1.08917,1.08974
15123,2024-08-08 10:00:00-04:00,1.08977,1.09062,1.0895,1.09003
15124,2024-08-08 10:15:00-04:00,1.09004,1.09017,1.08927,1.08971
15125,2024-08-08 10:30:00-04:00,1.08972,1.08979,1.0882,1.08862
15126,2024-08-08 10:45:00-04:00,1.08864,1.08928,1.08813,1.08927
15127,2024-08-08 11:00:00-04:00,1.08933,1.08988,1.08912,1.08974
15128,2024-08-08 11:15:00-04:00,1.08974,1.08992,1.08926,1.08983
15129,2024-08-08 11:30:00-04:00,1.08978,1.09017,1.08957,1.08982
15130,2024-08-08 11:45:00-04:00,1.08983,1.09077,1.08973,1.09062
15131,2024-08-08 12:00:00-04:00,1.09063,1.09147,1.09055,1.09081
15132,2024-08-08 12:15:00-04:00,1.09081,1.09125,1.09066,1.09081
15133,2024-08-08 12:30:00-04:00,1.09083,1.09103,1.09062,1.09075
15134,2024-08-08 12:45:00-04:00,1.09077,1.09144,1.09074,1.0913
15135,2024-08-08 13:00:00-04:00,1.0913,1.09145,1.09082,1.0909
15136,2024-08-08 13:15:00-04:00,1.09089,1.09089,1.09057,1.0907
15137,2024-08-08 13:30:00-04:00,1.0907,1.09086,1.0905,1.09081
15138,2024-08-08 13:45:00-04:00,1.09082,1.09106,1.09072,1.09086
15139,2024-08-08 14:00:00-04:00,1.09087,1.09136,1.09074,1.09124
15140,2024-08-08 14:15:00-04:00,1.09123,1.09163,1.09121,1.09149
15141,2024-08-08 14:30:00-04:00,1.09148,1.09161,1.0911,1.09113
15142,2024-08-08 14:45:00-04:00,1.09113,1.09134,1.0911,1.09126
15143,2024-08-08 15:00:00-04:00,1.09126,1.09151,1.0911,1.09143
15144,2024-08-08 15:15:00-04:00,1.09142,1.09144,1.09114,1.09129
15145,2024-08-08 15:30:00-04:00,1.09129,1.09149,1.09128,1.09137
15146,2024-08-08 15:45:00-04:00,1.09137,1.09187,1.09136,1.09182
15147,2024-08-08 16:00:00-04:00,1.09178,1.09178,1.09133,1.09145
15148,2024-08-08 16:15:00-04:00,1.09146,1.09168,1.09142,1.09165
15149,2024-08-08 16:30:00-04:00,1.09163,1.09166,1.09147,1.09161
15150,2024-08-08 16:45:00-04:00,1.09159,1.09168,1.09143,1.0916
15151,2024-08-08 17:00:00-04:00,1.0916,1.09181,1.09159,1.09178
15152,2024-08-08 17:15:00-04:00,1.09177,1.09178,1.09166,1.09175
15153,2024-08-08 17:30:00-04:00,1.09175,1.09189,1.09168,1.09181
15154,2024-08-08 17:45:00-04:00,1.09181,1.0919,1.09173,1.09177
15155,2024-08-08 18:00:00-04:00,1.09177,1.0918,1.09097,1.09144
